track__artists__name,track__name,track__preview_url
Spandau Ballet,True,https://p.scdn.co/mp3-preview/1d9cd11b1b826e2335ef5cb8a6c78d839cab0a0b?cid=774b29d4f13844c495f206cafdad9c86
Bruce Springsteen,Dancing In the Dark,https://p.scdn.co/mp3-preview/ca523bfc94766689529e443009bcec6b56cf8b6a?cid=774b29d4f13844c495f206cafdad9c86
Bill Medley,(I've Had) The Time of My Life,https://p.scdn.co/mp3-preview/a8fb0eb28d9d8f6ca56252a18ba84ecbe434a294?cid=774b29d4f13844c495f206cafdad9c86
Irene Cara,What A Feeling,https://p.scdn.co/mp3-preview/bc6a35d8a3dbdbed0a7c7fde9a9ce6c4fc3207a6?cid=774b29d4f13844c495f206cafdad9c86
Berlin,"Take My Breath Away - Love Theme from ""Top Gun""",https://p.scdn.co/mp3-preview/fd6cde6ea002bc6c628297ec3a283d5d255cb470?cid=774b29d4f13844c495f206cafdad9c86
INXS,Need You Tonight,https://p.scdn.co/mp3-preview/61b17a335d5afc1c4086b1b08e2400f0da147977?cid=774b29d4f13844c495f206cafdad9c86
Cyndi Lauper,Time After Time,https://p.scdn.co/mp3-preview/0bd40c4c5f27548fd83f721380b99466c1c2094f?cid=774b29d4f13844c495f206cafdad9c86
Pat Benatar,Love Is A Battlefield,https://p.scdn.co/mp3-preview/81dd1cc3e6c9e174059c33585d74e23f4f1c319b?cid=774b29d4f13844c495f206cafdad9c86
Madness,Our House,https://p.scdn.co/mp3-preview/2046f0cec60f2aaed0dce002e4291eb80dd65294?cid=774b29d4f13844c495f206cafdad9c86
Pat Benatar,We Belong,https://p.scdn.co/mp3-preview/8842f3a264ece1cc58f093c35d2d74db082a3ab9?cid=774b29d4f13844c495f206cafdad9c86
Roxette,The Look,https://p.scdn.co/mp3-preview/d7698dbbf903869aeecc6cd749b1eed113adf71c?cid=774b29d4f13844c495f206cafdad9c86
